strategy,term,coef,se,N
ust_spot_fut,const,73.35425158791088,45.98942483102209,156
ust_spot_fut,relief,-5.802553677799992,166.6304527351448,156
ust_spot_fut,relief_x_exempt,73.02240287692608,179.1562548845549,156
ust_spot_fut,relief_x_util,58.247853233115656,157.9162333957958,156
ust_spot_fut,d_VIX,-2.9985094617782506,7.909560813874514,156
ust_spot_fut,d_HY_OAS,330.4424220017577,137.5076132767359,156
ust_spot_fut,d_BAA10Y,-351.37880697986037,586.2899625206941,156
ust_spot_fut,d_issu_7_bil,3.1636851343758625e-13,4.0758566734356305e-13,156
ust_spot_fut,d_issu_14_bil,5.400538589583824,3.2589868035376073,156
ust_spot_fut,d_issu_30_bil,-6.243910860459504,4.1059838957516614,156
ust_spot_fut,d_SOFR,30.731045078492293,47.28349928311538,156
ust_spot_fut,d_spr_tgcr,1.3495918338213069,1.7540073253336992,156
